Issuer: Kinross Gold Corporation,Dec 17 2024,Jun 14 2024,Sep 19 2023,Jun 16 2023,Dec 14 2022,Jun 16 2022,Dec 15 2021,Jun 25 2021,Oct 23 2020,Jun 25 2020,Jun 26 2019,Apr 15 2019,Jun 04 2018,Oct 17 2017,Jun 28 2017
Debt Level: senior unsecured,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-
Issue: USD 500 mln 4.5% bond/note 15-Jul-2027,Review - No Action,Affirmed,Review - No Action,Affirmed,Review - No Action,Affirmed,Review -,Upgrade,Review - No Action,Affirmed,Affirmed,Review - No Action,Affirmed,Review - No Action,New Rating
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,