Date,Close ,Volume,,,,,,
29-Apr-25,14.59,"13,387,185",,,,,,
28-Apr-25,14.78,"20,361,000",,,,,,
21-Apr-25,14.49,"111,979,900",,,,,,
14-Apr-25,14.8,"78,935,500",,,,,,
07-Apr-25,14.38,"126,108,300",,,,,,
31-Mar-25,11.79,"109,697,800",,,,,,
24-Mar-25,12.49,"74,504,600",,,,,,
17-Mar-25,12.16,"88,350,600",,,,,,
10-Mar-25,11.63,"111,038,800",,,,,,
05-Mar-25,0.03 Dividend,,,,,,,
03-Mar-25,11.15,"123,936,500",,,,,,
24-Feb-25,10.72,"112,554,500",,,,,,
17-Feb-25,10.97,"103,396,200",,,,,,
10-Feb-25,11.27,"128,237,100",,,,,,
03-Feb-25,11.87,"109,122,900",,,,,,
27-Jan-25,11.28,"118,603,500",,,,,,
20-Jan-25,10.69,"71,416,100",,,,,,
13-Jan-25,10.31,"104,248,900",,,,,,
06-Jan-25,10.44,"97,459,800",,,,,,
30-Dec-24,9.78,"62,213,900",,,,,,
23-Dec-24,9.31,"46,545,400",,,,,,
16-Dec-24,9.25,"101,745,400",,,,,,
09-Dec-24,9.77,"79,742,600",,,,,,
02-Dec-24,9.75,"71,052,700",,,,,,
27-Nov-24,0.03 Dividend,,,,,,,
25-Nov-24,9.71,"64,189,700",,,,,,
18-Nov-24,10.22,"87,293,100",,,,,,
11-Nov-24,9.25,"98,080,000",,,,,,
04-Nov-24,10.47,"100,683,800",,,,,,
28-Oct-24,9.98,"75,588,900",,,,,,
21-Oct-24,10.53,"80,856,100",,,,,,
14-Oct-24,10.61,"57,483,000",,,,,,
07-Oct-24,9.82,"53,638,100",,,,,,
30-Sep-24,9.42,"59,904,800",,,,,,
23-Sep-24,9.46,"66,103,100",,,,,,
16-Sep-24,9.56,"158,018,000",,,,,,
09-Sep-24,9.84,"72,186,700",,,,,,
02-Sep-24,8.33,"52,804,700",,,,,,
26-Aug-24,9.04,"58,948,000",,,,,,
22-Aug-24,0.03 Dividend,,,,,,,
19-Aug-24,9.15,"84,274,100",,,,,,
12-Aug-24,9.17,"60,137,100",,,,,,
05-Aug-24,8.48,"74,639,100",,,,,,
29-Jul-24,8.75,"95,997,600",,,,,,
22-Jul-24,8.61,"80,596,900",,,,,,
15-Jul-24,8.82,"89,747,300",,,,,,
08-Jul-24,9.21,"85,469,800",,,,,,
01-Jul-24,8.47,"56,314,100",,,,,,
24-Jun-24,8.32,"82,628,900",,,,,,
17-Jun-24,7.62,"85,093,700",,,,,,
10-Jun-24,7.41,"72,151,200",,,,,,
03-Jun-24,7.4,"81,736,100",,,,,,
30-May-24,0.03 Dividend,,,,,,,
27-May-24,8.13,"55,049,100",,,,,,
20-May-24,8.07,"88,417,000",,,,,,
13-May-24,8,"60,026,900",,,,,,
06-May-24,7.59,"89,370,300",,,,,,
29-Apr-24,6.59,"74,393,400",,,,,,
22-Apr-24,6.74,"90,786,600",,,,,,
15-Apr-24,6.77,"99,850,200",,,,,,
08-Apr-24,6.38,"98,353,000",,,,,,
01-Apr-24,6.4,"87,364,400",,,,,,
25-Mar-24,6.13,"49,535,100",,,,,,
18-Mar-24,5.65,"63,861,800",,,,,,
11-Mar-24,5.67,"90,402,200",,,,,,
05-Mar-24,0.03 Dividend,,,,,,,
04-Mar-24,5.37,"110,148,500",,,,,,
26-Feb-24,5.08,"60,548,700",,,,,,
19-Feb-24,4.98,"41,422,600",,,,,,
12-Feb-24,5.07,"69,045,600",,,,,,
05-Feb-24,5.16,"46,975,200",,,,,,
29-Jan-24,5.5,"55,569,700",,,,,,
22-Jan-24,5.54,"58,606,400",,,,,,
15-Jan-24,5.4,"51,559,500",,,,,,
08-Jan-24,5.89,"53,182,700",,,,,,
01-Jan-24,5.71,"53,988,300",,,,,,
25-Dec-23,6.05,"35,423,000",,,,,,
18-Dec-23,6.16,"66,066,800",,,,,,
11-Dec-23,6.03,"91,402,000",,,,,,
04-Dec-23,5.75,"84,144,600",,,,,,
29-Nov-23,0.03 Dividend,,,,,,,
27-Nov-23,5.94,"72,884,600",,,,,,
20-Nov-23,5.58,"36,956,400",,,,,,
13-Nov-23,5.32,"60,727,800",,,,,,
06-Nov-23,5.18,"67,481,100",,,,,,
30-Oct-23,5.55,"66,209,000",,,,,,
23-Oct-23,5.31,"75,155,300",,,,,,
16-Oct-23,5.34,"75,640,200",,,,,,
09-Oct-23,5.12,"62,584,400",,,,,,
02-Oct-23,4.6,"61,102,900",,,,,,
25-Sep-23,4.56,"55,333,700",,,,,,
18-Sep-23,4.98,"48,257,200",,,,,,
11-Sep-23,5.18,"68,914,100",,,,,,
04-Sep-23,4.77,"30,656,200",,,,,,
28-Aug-23,5.03,"51,434,600",,,,,,
23-Aug-23,0.03 Dividend,,,,,,,
21-Aug-23,4.81,"42,584,200",,,,,,
14-Aug-23,4.62,"39,072,100",,,,,,
07-Aug-23,5.08,"47,363,700",,,,,,
31-Jul-23,4.95,"53,161,100",,,,,,
24-Jul-23,4.86,"41,605,200",,,,,,
17-Jul-23,5.03,"35,609,200",,,,,,
10-Jul-23,5.06,"45,809,000",,,,,,
03-Jul-23,4.59,"29,462,100",,,,,,
26-Jun-23,4.77,"53,043,600",,,,,,
19-Jun-23,4.61,"32,089,700",,,,,,
12-Jun-23,4.88,"75,142,400",,,,,,
05-Jun-23,4.85,"50,310,200",,,,,,
31-May-23,0.03 Dividend,,,,,,,
29-May-23,4.85,"39,852,800",,,,,,
22-May-23,4.74,"42,548,000",,,,,,
15-May-23,5.15,"71,042,700",,,,,,
08-May-23,5.3,"69,799,900",,,,,,
01-May-23,5.32,"66,427,700",,,,,,
24-Apr-23,5.05,"50,185,400",,,,,,
17-Apr-23,4.96,"60,440,100",,,,,,
10-Apr-23,5.34,"77,887,400",,,,,,
03-Apr-23,5.04,"69,504,500",,,,,,
27-Mar-23,4.71,"93,525,400",,,,,,
20-Mar-23,4.36,"86,186,800",,,,,,
13-Mar-23,4.13,"120,595,600",,,,,,
07-Mar-23,0.03 Dividend,,,,,,,
06-Mar-23,3.5,"56,207,300",,,,,,
27-Feb-23,3.75,"55,149,300",,,,,,
20-Feb-23,3.62,"63,613,300",,,,,,
13-Feb-23,3.86,"83,515,800",,,,,,
06-Feb-23,4.19,"59,223,300",,,,,,
30-Jan-23,4.38,"72,529,700",,,,,,
23-Jan-23,4.79,"62,943,500",,,,,,
16-Jan-23,4.72,"49,810,000",,,,,,
09-Jan-23,4.74,"87,861,100",,,,,,
02-Jan-23,4.57,"81,303,900",,,,,,
26-Dec-22,4.09,"34,451,300",,,,,,
19-Dec-22,4.17,"51,991,600",,,,,,
12-Dec-22,4.09,"84,687,000",,,,,,
05-Dec-22,4.21,"71,398,300",,,,,,
30-Nov-22,0.03 Dividend,,,,,,,
28-Nov-22,4.34,"94,996,900",,,,,,
21-Nov-22,4.12,"53,729,000",,,,,,
14-Nov-22,4.1,"87,792,800",,,,,,
07-Nov-22,4.31,"142,715,500",,,,,,
31-Oct-22,3.86,"102,487,500",,,,,,
24-Oct-22,3.66,"73,764,800",,,,,,
17-Oct-22,3.58,"87,043,700",,,,,,
10-Oct-22,3.35,"79,695,200",,,,,,
03-Oct-22,3.74,"101,494,700",,,,,,
26-Sep-22,3.76,"113,711,000",,,,,,
19-Sep-22,3.31,"113,581,200",,,,,,
12-Sep-22,3.29,"67,728,900",,,,,,
05-Sep-22,3.55,"44,530,700",,,,,,
29-Aug-22,3.28,"75,115,900",,,,,,
22-Aug-22,3.42,"72,069,900",,,,,,
17-Aug-22,0.03 Dividend,,,,,,,
15-Aug-22,3.52,"88,392,300",,,,,,
08-Aug-22,3.6,"70,169,000",,,,,,
01-Aug-22,3.35,"92,598,900",,,,,,
25-Jul-22,3.41,"118,785,300",,,,,,
18-Jul-22,3.25,"105,598,100",,,,,,
11-Jul-22,3.09,"94,493,600",,,,,,
04-Jul-22,3.35,"86,553,600",,,,,,
27-Jun-22,3.7,"95,838,000",,,,,,
20-Jun-22,4,"90,980,800",,,,,,
13-Jun-22,4.1,"261,609,700",,,,,,
06-Jun-22,4.53,"67,720,500",,,,,,
01-Jun-22,0.03 Dividend,,,,,,,
30-May-22,4.55,"59,681,900",,,,,,
23-May-22,4.55,"66,136,500",,,,,,
16-May-22,4.5,"92,654,200",,,,,,
09-May-22,4.16,"139,891,300",,,,,,
02-May-22,4.92,"88,913,100",,,,,,
25-Apr-22,5.08,"91,120,900",,,,,,
18-Apr-22,5.49,"104,577,100",,,,,,
11-Apr-22,6.14,"70,562,500",,,,,,
04-Apr-22,6.21,"108,765,500",,,,,,
28-Mar-22,6.02,"82,796,300",,,,,,
21-Mar-22,5.73,"71,606,300",,,,,,
14-Mar-22,5.58,"117,720,000",,,,,,
08-Mar-22,0.03 Dividend,,,,,,,
07-Mar-22,5.63,"138,806,000",,,,,,
28-Feb-22,5.48,"179,931,300",,,,,,
21-Feb-22,5.53,"120,671,000",,,,,,
14-Feb-22,5.82,"132,369,400",,,,,,
07-Feb-22,5.71,"87,462,200",,,,,,
31-Jan-22,5.4,"73,307,100",,,,,,
24-Jan-22,5.25,"107,300,600",,,,,,
17-Jan-22,5.65,"90,599,000",,,,,,
10-Jan-22,5.59,"61,437,400",,,,,,
03-Jan-22,5.45,"81,774,800",,,,,,
27-Dec-21,5.81,"49,139,000",,,,,,
20-Dec-21,5.57,"60,996,900",,,,,,
13-Dec-21,5.55,"126,901,400",,,,,,
06-Dec-21,5.33,"108,668,400",,,,,,
30-Nov-21,0.03 Dividend,,,,,,,
29-Nov-21,5.84,"92,657,100",,,,,,
22-Nov-21,6.13,"50,265,400",,,,,,
15-Nov-21,6.67,"59,420,900",,,,,,
08-Nov-21,6.94,"92,272,100",,,,,,
01-Nov-21,6.21,"57,711,200",,,,,,
25-Oct-21,6.01,"58,310,300",,,,,,
18-Oct-21,6.32,"52,670,300",,,,,,
11-Oct-21,6.11,"59,839,700",,,,,,
04-Oct-21,5.67,"53,471,100",,,,,,
27-Sep-21,5.32,"52,714,100",,,,,,
20-Sep-21,5.28,"70,350,100",,,,,,
13-Sep-21,5.48,"71,914,900",,,,,,
06-Sep-21,5.71,"41,752,800",,,,,,
30-Aug-21,6.19,"47,604,700",,,,,,
23-Aug-21,6.05,"39,980,200",,,,,,
18-Aug-21,0.03 Dividend,,,,,,,
16-Aug-21,5.71,"54,868,200",,,,,,
09-Aug-21,6.08,"59,998,900",,,,,,
02-Aug-21,6.19,"44,816,800",,,,,,
26-Jul-21,6.56,"67,850,000",,,,,,
19-Jul-21,6.12,"73,888,400",,,,,,
12-Jul-21,6.2,"64,218,500",,,,,,
05-Jul-21,6.3,"73,679,500",,,,,,
28-Jun-21,6.44,"50,624,000",,,,,,
21-Jun-21,6.38,"97,001,900",,,,,,
14-Jun-21,6.42,"94,843,200",,,,,,
07-Jun-21,7.81,"39,558,800",,,,,,
02-Jun-21,0.03 Dividend,,,,,,,
31-May-21,7.98,"33,831,700",,,,,,
24-May-21,8.1,"51,891,100",,,,,,
17-May-21,8.04,"89,419,400",,,,,,
10-May-21,7.78,"81,525,800",,,,,,
03-May-21,7.74,"62,941,000",,,,,,
26-Apr-21,7.04,"43,232,200",,,,,,
19-Apr-21,7.35,"53,590,300",,,,,,
12-Apr-21,7.5,"51,024,000",,,,,,
05-Apr-21,7.41,"64,150,100",,,,,,
29-Mar-21,7.02,"57,318,900",,,,,,
22-Mar-21,6.72,"53,368,400",,,,,,
15-Mar-21,6.92,"81,430,800",,,,,,
08-Mar-21,6.73,"65,132,800",,,,,,
02-Mar-21,0.03 Dividend,,,,,,,
01-Mar-21,6.55,"97,547,600",,,,,,
22-Feb-21,6.23,"102,018,200",,,,,,
15-Feb-21,6.54,"81,638,000",,,,,,
08-Feb-21,7.38,"94,972,100",,,,,,
01-Feb-21,7.24,"74,277,800",,,,,,
25-Jan-21,6.98,"90,531,500",,,,,,
18-Jan-21,7.01,"70,446,200",,,,,,
11-Jan-21,6.96,"80,589,200",,,,,,
04-Jan-21,7.38,"117,136,900",,,,,,
28-Dec-20,7.34,"48,812,400",,,,,,
21-Dec-20,7.39,"60,576,100",,,,,,
14-Dec-20,7.63,"217,208,700",,,,,,
07-Dec-20,7.2,"79,755,500",,,,,,
30-Nov-20,7.2,"67,135,300",,,,,,
24-Nov-20,0.03 Dividend,,,,,,,
23-Nov-20,7.11,"47,512,000",,,,,,
16-Nov-20,7.52,"56,160,000",,,,,,
09-Nov-20,8.02,"85,076,400",,,,,,
02-Nov-20,8.74,"56,341,400",,,,,,
26-Oct-20,7.97,"69,455,400",,,,,,
19-Oct-20,8.61,"50,579,400",,,,,,
12-Oct-20,9.11,"38,349,900",,,,,,
07-Oct-20,0.03 Dividend,,,,,,,
05-Oct-20,9.1,"63,082,000",,,,,,
28-Sep-20,8.89,"51,372,000",,,,,,
21-Sep-20,8.75,"106,098,700",,,,,,
14-Sep-20,10,"90,653,600",,,,,,
07-Sep-20,8.8,"54,016,800",,,,,,
31-Aug-20,8.63,"65,872,800",,,,,,
24-Aug-20,8.89,"71,239,000",,,,,,
17-Aug-20,8.65,"78,769,800",,,,,,
10-Aug-20,8.71,"90,978,000",,,,,,
03-Aug-20,9.41,"108,599,900",,,,,,
27-Jul-20,9.37,"101,597,500",,,,,,
20-Jul-20,8.42,"84,144,600",,,,,,
13-Jul-20,7.88,"70,101,900",,,,,,
06-Jul-20,7.63,"78,195,300",,,,,,
29-Jun-20,7.17,"70,242,600",,,,,,
22-Jun-20,6.88,"89,398,000",,,,,,
15-Jun-20,6.4,"83,574,900",,,,,,
08-Jun-20,6.19,"96,443,200",,,,,,
01-Jun-20,6.22,"106,971,000",,,,,,
25-May-20,6.55,"81,363,800",,,,,,
18-May-20,7.05,"91,287,500",,,,,,
11-May-20,7.44,"99,078,200",,,,,,
04-May-20,7.02,"83,369,800",,,,,,
27-Apr-20,6.84,"52,577,100",,,,,,