Date,US496902AQ09(USD)
31-Mar-25,99.608
02-Dec-24,99.533
09-Sep-24,100.453
02-Sep-24,100.166
26-Aug-24,99.84
19-Aug-24,99.596
12-Aug-24,99.283
05-Aug-24,99.234
29-Jul-24,99.201
22-Jul-24,98.448
01-Jul-24,97.478
24-Jun-24,97.199
03-Jun-24,97.141
27-May-24,96.927
06-May-24,96.989
22-Apr-24,96.488
01-Apr-24,97.624
25-Mar-24,97.938
04-Mar-24,97.581
26-Feb-24,98.543
05-Feb-24,97.466
29-Jan-24,97.366
01-Jan-24,97.322
25-Dec-23,97.923
04-Dec-23,97.091
27-Nov-23,96.982
06-Nov-23,95.334
30-Oct-23,95.605
09-Oct-23,94.982
25-Sep-23,95.147
04-Sep-23,95.935
28-Aug-23,96.327
07-Aug-23,96.526
31-Jul-23,95.867
03-Jul-23,94.825
26-Jun-23,95.964
05-Jun-23,97.117
29-May-23,97.464
01-May-23,99.938
24-Apr-23,98.743
03-Apr-23,98.838
27-Mar-23,97.168
06-Mar-23,94.801
27-Feb-23,95.31
06-Feb-23,97.463
30-Jan-23,97.605
02-Jan-23,96.016
26-Dec-22,94.957
05-Dec-22,95.783
28-Nov-22,95.585
07-Nov-22,94.083
31-Oct-22,92.564
03-Oct-22,93.647
26-Sep-22,94.074
05-Sep-22,96.66
29-Aug-22,97.735
01-Aug-22,97.86
25-Jul-22,98.585
04-Jul-22,98.317
27-Jun-22,97.882
06-Jun-22,99.739